Image,Object ID,Area,Edges,Center_x,Center_y,Width,Height,lbp_mean,lbp_std,Prediction
2024_001_small_NEOS_SCI_2024001000312.png,99,7,5,144.71428571428572,199.0,3,3,4.777777777777778,2.698879511442471,Debris
2024_001_small_NEOS_SCI_2024001000312.png,100,7,5,147.71428571428572,206.0,3,3,4.777777777777778,2.698879511442471,Debris
2024_001_small_NEOS_SCI_2024001000312.png,101,1,0,246.0,204.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,102,1,0,210.0,206.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,103,1,0,260.0,213.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,104,1,0,93.0,215.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,105,5,1,329.8,217.4,3,2,4.5,2.9297326385411577,Debris
2024_001_small_NEOS_SCI_2024001000312.png,106,11,6,131.8181818181818,220.9090909090909,3,5,5.266666666666667,2.462158041682585,Debris
2024_001_small_NEOS_SCI_2024001000312.png,107,4,0,334.5,218.5,2,2,3.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,108,2,0,44.0,221.5,1,2,1.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,109,6,3,220.16666666666666,222.16666666666666,3,3,4.888888888888889,3.1071403231354586,Debris
2024_001_small_NEOS_SCI_2024001000312.png,110,1,0,337.0,220.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,111,1,0,345.0,221.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,112,1,0,175.0,224.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,113,1,0,241.0,224.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,114,2,0,191.5,230.0,2,1,1.0,0.0,Celestial Object
2024_001_small_NEOS_SCI_2024001000312.png,115,2,0,198.5,230.0,2,1,1.0,0.0,Celestial Object
2024_001_small_NEOS_SCI_2024001000312.png,116,6,4,352.0,230.5,3,2,3.6666666666666665,0.9428090415820634,Debris
2024_001_small_NEOS_SCI_2024001000312.png,117,2,0,374.5,230.0,2,1,1.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,118,1,0,352.0,235.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,119,1,0,78.0,237.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,120,1,0,203.0,237.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,121,1,0,161.0,238.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,122,2,0,190.0,241.5,1,2,1.0,0.0,Celestial Object
2024_001_small_NEOS_SCI_2024001000312.png,123,8,6,267.875,241.125,3,3,4.444444444444445,1.8324913891634047,Debris
2024_001_small_NEOS_SCI_2024001000312.png,124,15,9,180.6,244.93333333333334,4,5,5.5,2.202271554554524,Debris
2024_001_small_NEOS_SCI_2024001000312.png,125,1,0,317.0,242.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,126,1,0,334.0,242.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,127,1,0,297.0,245.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,128,1,0,341.0,245.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,129,4,0,170.5,253.5,2,2,3.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,130,10,7,382.7,255.3,4,4,5.625,2.912795049432761,Debris
2024_001_small_NEOS_SCI_2024001000312.png,131,7,6,47.0,260.2857142857143,3,3,4.777777777777778,2.698879511442471,Debris
2024_001_small_NEOS_SCI_2024001000312.png,132,1,0,226.0,258.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,133,1,0,374.0,259.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,134,2,0,234.5,261.0,2,1,1.0,0.0,Celestial Object
2024_001_small_NEOS_SCI_2024001000312.png,135,1,0,215.0,262.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,136,2,0,273.0,262.5,1,2,1.0,0.0,Celestial Object
2024_001_small_NEOS_SCI_2024001000312.png,137,1,0,316.0,263.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,138,3,1,195.33333333333334,264.6666666666667,2,2,4.75,3.766629793329841,Debris
2024_001_small_NEOS_SCI_2024001000312.png,139,1,0,253.0,268.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,140,1,0,215.0,271.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,141,1,0,237.0,271.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,142,3,1,293.6666666666667,272.3333333333333,2,2,4.75,3.766629793329841,Debris
2024_001_small_NEOS_SCI_2024001000312.png,143,1,0,303.0,272.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,144,1,0,363.0,275.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,145,7,6,80.0,277.2857142857143,3,3,4.777777777777778,2.698879511442471,Debris
2024_001_small_NEOS_SCI_2024001000312.png,146,1,0,232.0,276.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,147,4,0,259.5,276.5,2,2,3.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,148,1,0,302.0,277.0,1,1,0.0,0.0,Debris
